Sl_No,Date,Startup_Name,Industry,Sub_Industry,Investors,Investment_Type,Amount_in_USD,Amount,City
1246,2016-11-28,WholeSaleBox,eCommerce,B2B Wholesale Apparel Marketplace,"Manish Maheshwari, Contrarian Vriddhi Fund",Private Equity,"20,00,000",2000000,Jaipur
1248,2016-11-29,Affordplan,Consumer Internet,Savings platform for Medical Expenses,"Prime Venture Partners, Kalaari Capital",Private Equity,"30,00,000",3000000,New Delhi
1249,2016-11-30,HandyTrain,Consumer Internet,Mobile App for SAAS based Training,"Silver Range Investments, Lumina Datamatics, Shun Yoshida & Others",Private Equity,"10,00,000",1000000,Goa
1250,2016-11-30,ShopsUp,eCommerce,Hyperlocal Shopping App,"Anand Sankeshwar, Yang Shu",Seed Funding,"9,63,000",963000,Bengaluru
1251,2016-11-30,Indofash,eCommerce,Ethnic Indian Fashion Marketplace,"Shekhar Sahu, Nitesh Pant",Seed Funding,"1,50,000",150000,Bengaluru
1252,2016-11-30,Entropika,Technology,"AI, Machine learning Solutions","Dileep Bhatt, Milind Chaudhary",Seed Funding,"2,00,000",200000,Bengaluru
1253,2016-11-30,MarianaIQ,Technology,AI-driven B2B marketing platform,Exfinity Venture Partners,Private Equity,"20,00,000",2000000,Bengaluru
1254,2016-11-30,Chai Thela,Food & Beverage,Quick Service Restaurants,Quarizon,Seed Funding,"2,18,000",218000,Noida
1255,2016-11-30,Interviewpad,Technology,Engineering Interview facilitation platform,Krishna Rokhale,Seed Funding,"1,00,000",100000,Pune
1256,2016-11-30,Math Buddy,Consumer Internet,Online Math Learn,Menterra Social Impact Fund,Seed Funding,"4,40,000",440000,Vadodara
1257,2016-11-30,Pulse,Consumer Internet,Campus Social Networking App,SAIF Partners,Private Equity,"5,00,000",500000,Bengaluru
1259,2016-11-30,Carcrew.in,Consumer Internet,Online Car repair Marketplace,TVS Group,Seed Funding,"5,00,000",500000,Mumbai
1261,2016-10-03,Mystifly,Consumer Internet,Airline Ticket Aggregator,Recruit Holdings,Private Equity,"50,00,000",5000000,Bengaluru
1263,2016-10-03,Uniphore,Technology,Speech Recognition Solutions,"IDG Ventures, Indian Angel Network (IAN), YourNest Angel Fund",Private Equity,"20,00,000",2000000,Chennai
1264,2016-10-03,World Art Community,eCommerce,Art & Craft Marketplace,Viraj Tyagi & Others,Seed Funding,"2,00,000",200000,Gurgaon
1265,2016-10-04,Giftxoxo,eCommerce,Online Gifting platform,Mahindra Holidays & Resorts India Ltd,Private Equity,"4,50,000",450000,Bengaluru
1268,2016-10-04,India Gifts Portal,eCommerce,Online Gifting platform,"Naveen Arya, Tarun Joshi",Private Equity,"20,00,000",2000000,Noida
1269,2016-10-04,Moglix,eCommerce,Industrial & Home products marketplace,"Accel Partners, Jungle Ventures, SeedPlus",Private Equity,"42,00,000",4200000,Noida
1270,2016-10-04,NetLinx,Consumer Internet,Internet Service Provider,"Xchange Investors NV, TransGlobal FZC",Private Equity,"30,00,000",3000000,Hyderabad
1272,2016-10-04,Remitr,Consumer Internet,Foreign Currency Payments Platform,"Vijay Shekhar Sharma, Pravin Gandhi,\\xc2\\xa0 Smart Start Fund; Kunal Shah,\\xc2\\xa0 Sandeep Tandon, Vishal Gondal, & Others",Seed Funding,"10,00,000",1000000,Mumbai
1273,2016-10-04,InnerChef,Consumer Internet,Online food ordering platform,"Mistletoe, M&S Partners",Private Equity,"25,00,000",2500000,Gurgaon
1274,2016-10-04,AppsDaily,Consumer Internet,"Mobile Phone Theft, Damage Protection platform","Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",Private Equity,"37,50,000",3750000,Mumbai
1278,2016-10-05,UE LifeSciences,Technology,Mobile Health Technology Solutions,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,"12,00,000",1200000,Mumbai
1280,2016-10-06,RealBox,Technology,Data Sciences Platform,Hyderabad Angels,Seed Funding,"3,00,000",300000,Noida
1282,2016-10-06,GoZefo,eCommerce,Used Furniture & Appliances Marketplace,"Helion Venture Partners, BeeNext",Private Equity,"10,50,000",1050000,Bengaluru
1283,2016-10-07,RayIOT,Technology,Baby Monitoring Devices manufacturer,HAX Accelerator,Seed Funding,"1,00,000",100000,Bengaluru
1284,2016-10-07,KOOH Sports,Technology,Sports Training & Technology,"HDFC, Faering Capital, Elevate Sports",Private Equity,"22,00,000",2200000,Mumbai
1285,2016-10-07,Flexiloans,Consumer Internet,Online Funds Raising Platform,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,"1,50,00,000",15000000,Mumbai
1287,2016-10-10,Vithi.com,eCommerce,Online Hair Extension etailer,undisclosed investor,Seed Funding,"3,75,000",375000,New Delhi
1288,2016-10-11,Yupp TV,Consumer Internet,Internet-based TV streaming service provider,Emerald Media,Private Equity,"5,00,00,000",50000000,Bengaluru
1289,2016-10-11,Deyor Camps,Consumer Internet,Branded Camping location Aggregator,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed Funding,"5,00,000",500000,Gurgaon
1291,2016-10-13,FabAlley,ecommerce,online fashion brand store,"India Quotient, FAO Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma",Private Equity,"20,00,000",2000000,Noida
1294,2016-10-13,RoboVac,Technology,waterless car washing solution,Virendra Patel,Seed Funding,"4,50,000",450000,Ahmedabad
1295,2016-10-14,Newspatrolling,Consumer Internet,Online News portal,Undisclosed,Seed Funding,"25,000",25000,New Delhi
1296,2016-10-14,Postman,Consumer Internet,API Platform,Nexus Venture Partners,Private Equity,"70,00,000",7000000,Bengaluru
1297,2016-10-14,ISFC,Finance,Education Sector Lending,Gray Matters Capital,Private Equity,"60,00,000",6000000,Hyderabad
1301,2016-10-15,DailyHunt,Consumer Internet,Vernacular content mobile app,"ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,\\xc2\\xa0 Falcon Edge",Private Equity,"2,50,00,000",25000000,Bengaluru
1302,2016-10-15,Tazzo Bikes,Consumer Internet,Motorbike rental platform,DSG Consumer Partners,Seed Funding,"2,27,000",227000,Hyderabad
1303,2016-10-15,MyKindofJob,Consumer Internet,Internet & Fresher Job platform,"Mayank Shah, Shreyans Shah",Seed Funding,"10,00,000",1000000,Mumbai
1306,2016-10-17,Yumigo,Consumer Internet,App based Travel Discovery and Transactions platform,Hemant Sahni,Seed Funding,"3,00,000",300000,Gurgaon
1307,2016-10-17,Rentalpha,Others,equipment rental and leasing company,Bravia Capital,Private Equity,"1,60,00,000",16000000,Mumbai
1308,2016-10-18,3Dexter,Technology,3D Printing Solutions for Edu space,Newbie Promoters,Seed Funding,"1,50,000",150000,New Delhi
1311,2016-10-18,MySUN,Technology,Solar Energy harnessing products marketplace,General Catalyst Partners,Private Equity,"25,00,000",2500000,Noida
1313,2016-10-19,Furlenco,Consumer Internet,Online Furniture Rental platform,"Lightbox Ventures, Axis Capital & Others",Private Equity,"3,00,00,000",30000000,Bengaluru
1314,2016-10-19,Fisdom,Consumer Internet,Personal Wealth Management Platform & App,"Saama Capital, Raghunandan G, Aprameya Radhakrishna",Private Equity,"11,00,000",1100000,Bengaluru
1315,2016-10-19,Actofit,Technology,Wearable Technology platform & devices,Next Orbit Ventures Fund,Private Equity,"7,50,000",750000,Mumbai
1319,2016-10-21,ChatOnGo,Consumer Internet,Hyperlocal\\xc2\\xa0 Communication Mobile app,Janak Jain,Seed Funding,"3,00,000",300000,Mumbai
1321,2016-10-24,Healthians,Consumer Internet,Health Test Discovery & Ordering service,BEENEXT,Private Equity,"30,00,000",3000000,Gurgaon
1322,2016-10-24,Box8,Consumer Internet,Online Food Ordering platform/App,"IIFL Seed Ventures Fund, Mayfield Ventures",Private Equity,"75,00,000",7500000,Mumbai
1323,2016-10-25,Kredx,eCommerce,Invoice discounting marketplace,Sequoia Capital,Private Equity,"60,00,000",6000000,Bengaluru
1324,2016-10-25,CreditMate,Consumer Internet,Credit Report Info platform,India Quotient,Seed Funding,"5,00,000",500000,Mumbai
1327,2016-10-25,SooperMO,Technology,Android utility app suite creator,Lalit Vase,Seed Funding,"1,00,000",100000,Gurgaon
1328,2016-10-26,OrangeTwig,Consumer Internet,Social Media Marketing platform,Undisclosed investor,Seed Funding,"10,00,000",1000000,New Delhi
1330,2016-10-26,The Kettlery,eCommerce,Online Tea Etailer,"hooting Starts Sports LLP, Franchise India Brands",Private Equity,"10,00,000",1000000,Ahmedabad
1331,2016-10-27,Idea Bubbles,Consumer Internet,Doctor Consulting platform,"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd.",Private Equity,"7,00,000",700000,Bengaluru
1332,2016-10-27,FR8,Technology,Truck Fleet Operation platform,Omnivore Partners,Private Equity,"9,71,000",971000,Chennai
1333,2016-10-27,Ather Energy,Technology,Electric Vehicle Manufacturer,Hero MotoCorp,Private Equity,"2,70,00,000",27000000,Bengaluru
1335,2016-10-29,Velmenni,Technology,LiFi based wireless communication provider,Kalaari Capital,Seed Funding,"1,00,000",100000,New Delhi
1336,2016-10-29,Volta Motors,Technology,Electric Bike Manufacturer,Kalaari Capital,Seed Funding,"1,00,000",100000,Chennai
1337,2016-10-29,Cyclops,Technology,Clinical and Wearable Diagnostic Product creator,Kalaari Capital,Seed Funding,"1,00,000",100000,Bengaluru
1338,2016-10-30,Impact Analytics,Technology,Business intelligence and data science Startup,"Aarin Capital, Michael Herzig, Ashish Lakhanpal",Private Equity,"7,50,000",750000,Bengaluru
1339,2016-10-31,Talent Next,Consumer Internet,Talent Discovery & Audition management platform,Karanpal Singh & Others,Seed Funding,"10,00,000",1000000,Mumbai
1341,2016-09-01,Mihup,Technology,Personal Digital Assistant,Accel Partners,Private Equity,"67,00,000",6700000,Kolkata
1347,2016-09-06,eShakti,eCommerce,Women\xe2\x80\x99s Fashion Apparel eTailer,"Infina Finance Pvt. Ltd, Uday Kotak",Private Equity,"13,50,000",1350000,Chennai
1348,2016-09-06,CheersOye!,Consumer Internet,Online Gift Vouchers platform,Undisclosed Investors,Seed Funding,"5,00,000",500000,Mumbai
1350,2016-09-06,BigStylist,Consumer Internet,Hyperlocal doorstep Beauty Services provider,Info Edge (India) Ltd,Private Equity,"9,00,000",900000,Mumbai
1351,2016-09-07,Zilingo,eCommerce,Online Fashion Retailer,"Venturra Capital, Sequoia India, Susquehanna International Group.\\xc2\\xa0 Wavemaker Partners, Beenext, Beenos, Digital Garage",Private Equity,"80,00,000",8000000,Bangalore/ Bangkok
1352,2016-09-07,Alternacare,Consumer Internet,Online Doctor Consulting platform,Eros Labs,Seed Funding,"5,00,000",500000,New Delhi
1353,2016-09-07,Simplilearn,Education,Online Certification programs,InnoVen Capital India,Private Equity,"60,00,000",6000000,Bengaluru
1354,2016-09-07,Prozo,eCommerce,Study Material Marketplace,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",Seed Funding,"3,15,000",315000,Gurgaon
1355,2016-09-08,TopRankers,Education,Online Test Preparation platform,"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,",Seed Funding,"6,70,000",670000,Bengaluru
1356,2016-09-08,BuildTraders,eCommerce,Online Construction Materials Marketplace,Idein Ventures,Seed Funding,"2,00,000",200000,Bengaluru
1357,2016-09-09,Byju\\xe2\\x80\\x99s,Education,Online Learning App,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures",Private Equity,"5,00,00,000",50000000,Bengaluru
1360,2016-09-10,CureInstant,Consumer Internet,Social Health Networking Platform,Dr. Rameshwar Kumar,Seed Funding,"1,50,000",150000,New Delhi
1361,2016-09-10,Poshtic,Consumer Internet,Online health & Wellness platform,"havya Sharma, Amit Nagar",Seed Funding,"4,50,000",450000,Noida
1363,2016-09-12,Purple Style Labs,Consumer Internet,Personal Styling Online platform,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",Seed Funding,"4,48,000",448000,Mumbai
1364,2016-09-12,Inuxu,Technology,Online Advertising Solutions,Fork Media,Private Equity,"30,00,000",3000000,Pune
1365,2016-09-12,Nykaa,eCommerce,Online Beauty products eTailer,"Sunil Munjal, Mariwala family",Private Equity,"1,23,00,000",12300000,Mumbai
1366,2016-09-12,Glam Studios,Consumer Internet,Beauty Salon Aggregator,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal",Seed Funding,"3,00,000",300000,Noida
1370,2016-09-13,NearBuy,Consumer Internet,Online Deals & Discount platform,BlackSoil Capital Pvt. Ltd.,Private Equity,"25,00,000",2500000,Gurgaon
1372,2016-09-14,Flocareer,Consumer Internet,Jobs & Skill Validation platform,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",Seed Funding,"1,50,000",150000,Bengaluru
1374,2016-09-15,infeedo,Consumer Internet,Employee engagement platform,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,\\xc2\\xa0 Vivek Bhargava, Rahul Singh, Ambarish Gupta,",Seed Funding,"2,00,000",200000,Gurgaon
1375,2016-09-15,Furlenco,eCommerce,Online furniture rental startup,Lightbox Ventures and others,Private Equity,"50,00,000",5000000,Bengaluru
1376,2016-09-15,GoPigeon,Consumer Internet,on-demand logistics service provider,Nexus Venture Partners,Private Equity,"15,00,000",1500000,Bengaluru
1377,2016-09-16,NewsDistill,Consumer Internet,City based News Aggregator App,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",Seed Funding,"1,00,000",100000,Hyderabad
1378,2016-09-16,DoctorInsta,Consumer Internet,Online Doctor Consultations,RoundGlass Partners,Private Equity,"10,00,000",1000000,Gurgaon
1379,2016-09-19,Milofy,Consumer Internet,Couple Socialization App,Accel Partners,Seed Funding,"7,50,000",750000,Bengaluru
1381,2016-09-19,Swiggy,Consumer Internet,Online Food Ordering & Delivery,Bessemer Venture Partners,Private Equity,"1,50,00,000",15000000,Bengaluru
1383,2016-09-20,JustLikeNew,eCommerce,Online gadget Repair Services Marketplace,LetsVenture,Seed Funding,"5,00,000",500000,Hyderabad
1385,2016-09-21,Co Life,Consumer Internet,shared living and working spaces platform,Undisclosed Investors,Seed Funding,"10,00,000",1000000,Bengaluru
1387,2016-09-21,Pepperfry,eCommerce,Furniture eTailer,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",Private Equity,"3,13,00,000",31300000,Mumbai
1388,2016-09-21,eQuickies,eCommerce,Online Book etailer,Lothal Angel Ventures,Seed Funding,"2,98,000",298000,Ahmedabad
1389,2016-09-21,Khel Now,Consumer Internet,Mobile-based social networking platform,Anglian Omega Network,Seed Funding,"3,50,000",350000,New Delhi
1390,2016-09-22,Gadgetwood,Consumer Internet,On-Demand Gadget repair services platform,Carpediem Capital,Private Equity,"60,00,000",6000000,New Delhi
1392,2016-09-22,Flixy Games,Technology,Mobile Game Publisher for Indian audience,Rebright Partners,Seed Funding,"4,25,000",425000,Bengaluru
1393,2016-09-22,HashTaag,Technology,Mobile App Development company,Undisclosed investors,Seed Funding,"10,00,000",1000000,Bengaluru
1394,2016-09-22,PharmaRack,Technology,SAAS application for Pharma Industry,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,"7,45,000",745000,Pune
1395,2016-09-23,\\xc2\\xa0CloudCherry,Technology,CRM SAAS Platform,"Vertex Ventures, Cisco Ventures, IDG Ventures",Private Equity,"60,00,000",6000000,Chennai
1401,2016-09-27,TinyStep,Consumer Internet,Parenting Network Platform,Flipkart Logistics Pvt. Ltd,Private Equity,"15,80,000",1580000,Bengaluru
1403,2016-09-28,Beardo,eCommerce,Mens Grooming products etailer,Venture Catalysts,Seed Funding,"5,00,000",500000,Ahmedabad
1404,2016-09-28,Instacar,Consumer Internet,Out-Station Taxi Rental Platform,Swastika Co Ltd.,Seed Funding,"10,00,000",1000000,Indore
1405,2016-09-28,Celes Care,Consumer Internet,Virtual Health Clinic for Women,Endiya Partners,Seed Funding,"10,00,000",1000000,Hyderabad
1406,2016-09-28,Druva,Technology,Cloud Based Data Protection Solution,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,"5,10,00,000",51000000,Pune
1407,2016-09-29,Promon,eCommerce,Local Commerce Platform,Now Capital,Seed Funding,"1,80,000",180000,New Delhi
1409,2016-09-29,Unocoin,Consumer Internet,Bitcoin Wallet,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,"15,00,000",1500000,Bengaluru
1411,2016-09-30,Zeta,Technology,Enterprise Cloud Solutions,Bhavin Turakhia,Private Equity,"1,90,00,000",19000000,Mumbai
1413,2016-08-01,HealthKart,eCommerce,Online Pharmacy & Health Marketplace,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,"1,20,00,000",12000000,Gurgaon
1414,2016-08-01,Medinfi,Consumer Internet,Doctor & Clinic\\xc2\\xa0 Discovery Platform,"Mudit Saxena, Evan Lim",Seed Funding,"2,00,000",200000,Bengaluru
1415,2016-08-01,RepairEasy,Consumer Internet,Gadget Repair Services Platform,Undisclosed HNIs,Seed Funding,"2,75,000",275000,Pune
1416,2016-08-01,Voonik,eCommerce,Online Women\\xe2\\x80\\x99s Fashion Marketplace,InnoVen Capital,Private Equity,"30,00,000",3000000,Bengaluru
1417,2016-08-01,Tokri,Consumer Internet,Hyperlocal Grocery Delivery platform,Syska LED group,Private Equity,"25,00,000",2500000,Pune
1418,2016-08-02,Sheroes,Consumer Internet,Online Job and Career Platform for Women,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,"18,00,000",1800000,Noida
1420,2016-08-02,Yumlane,Food & Beverage,Retail Food & Snack Offline centres,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding,"10,00,000",1000000,Mumbai
1422,2016-08-03,ExtraCarbon,Consumer Internet,Waste Recycle Management platform,Brand Capital,Seed Funding,"2,25,000",225000,Gurgaon
1423,2016-08-03,FlickBay,Consumer Internet,Mobile Based Bollywood Discovery platform,Paul Roy,Seed Funding,"8,90,000",890000,Mumbai
1424,2016-08-04,Petoo,Consumer Internet,Food Delivery Platform,Existing Investors,Seed Funding,"5,00,000",500000,Bengaluru
1427,2016-08-06,VST Travels,Technology,Travel Ticket Booking Software,Promatus Group,Seed Funding,"27,000",27000,Kerala
1429,2016-08-08,Wefly Indoor Skydiving,Others,Indoor Skydiving Sports Provider,Swastika Company Ltd.,Seed Funding,"40,000",40000,Mumbai
1430,2016-08-08,Mojarto,eCommerce,"Original Art, Digital Prints etailer",Undisclosed Investors,Seed Funding,"4,45,000",445000,Gurgaon
1431,2016-08-08,Zipgrid,Consumer Internet,Community services platform,1Crowd (through crowd funding),Seed Funding,"2,00,000",200000,Mumbai
1434,2016-08-10,Vebbler,Consumer Internet,Photo Sharing Mobile App,"Anupam Mittal, Sharad Sharma & 14 others",Seed Funding,"5,00,000",500000,Bengaluru
1435,2016-08-10,Bombay Shaving Company,eCommerce,Men\\xe2\\x80\\x99s Grooming Product etailer,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed Funding,"6,00,000",600000,New Delhi
